[BFS] start = (0, 0)
[BFS] goal  = (7, 9)
[POP ] current=(0, 0) visited_nodes=1
[PUSH] next=(0, 1) parent=(0, 0)
[POP ] current=(0, 1) visited_nodes=2
[PUSH] next=(0, 2) parent=(0, 1)
[POP ] current=(0, 2) visited_nodes=3
[PUSH] next=(1, 2) parent=(0, 2)
[PUSH] next=(0, 3) parent=(0, 2)
[POP ] current=(1, 2) visited_nodes=4
[PUSH] next=(2, 2) parent=(1, 2)
[POP ] current=(0, 3) visited_nodes=5
[POP ] current=(2, 2) visited_nodes=6
[PUSH] next=(3, 2) parent=(2, 2)
[PUSH] next=(2, 1) parent=(2, 2)
[POP ] current=(3, 2) visited_nodes=7
[PUSH] next=(4, 2) parent=(3, 2)
[PUSH] next=(3, 3) parent=(3, 2)
[POP ] current=(2, 1) visited_nodes=8
[PUSH] next=(2, 0) parent=(2, 1)
[POP ] current=(4, 2) visited_nodes=9
[PUSH] next=(5, 2) parent=(4, 2)
[POP ] current=(3, 3) visited_nodes=10
[PUSH] next=(3, 4) parent=(3, 3)
[POP ] current=(2, 0) visited_nodes=11
[PUSH] next=(3, 0) parent=(2, 0)
[POP ] current=(5, 2) visited_nodes=12
[PUSH] next=(5, 3) parent=(5, 2)
[POP ] current=(3, 4) visited_nodes=13
[PUSH] next=(2, 4) parent=(3, 4)
[POP ] current=(3, 0) visited_nodes=14
[PUSH] next=(4, 0) parent=(3, 0)
[POP ] current=(5, 3) visited_nodes=15
[PUSH] next=(5, 4) parent=(5, 3)
[POP ] current=(2, 4) visited_nodes=16
[PUSH] next=(1, 4) parent=(2, 4)
[POP ] current=(4, 0) visited_nodes=17
[PUSH] next=(5, 0) parent=(4, 0)
[POP ] current=(5, 4) visited_nodes=18
[PUSH] next=(5, 5) parent=(5, 4)
[POP ] current=(1, 4) visited_nodes=19
[POP ] current=(5, 0) visited_nodes=20
[PUSH] next=(6, 0) parent=(5, 0)
[POP ] current=(5, 5) visited_nodes=21
[PUSH] next=(5, 6) parent=(5, 5)
[POP ] current=(6, 0) visited_nodes=22
[PUSH] next=(7, 0) parent=(6, 0)
[POP ] current=(5, 6) visited_nodes=23
[PUSH] next=(4, 6) parent=(5, 6)
[PUSH] next=(6, 6) parent=(5, 6)
[POP ] current=(7, 0) visited_nodes=24
[PUSH] next=(7, 1) parent=(7, 0)
[POP ] current=(4, 6) visited_nodes=25
[PUSH] next=(4, 7) parent=(4, 6)
[POP ] current=(6, 6) visited_nodes=26
[PUSH] next=(7, 6) parent=(6, 6)
[POP ] current=(7, 1) visited_nodes=27
[PUSH] next=(7, 2) parent=(7, 1)
[POP ] current=(4, 7) visited_nodes=28
[PUSH] next=(4, 8) parent=(4, 7)
[POP ] current=(7, 6) visited_nodes=29
[PUSH] next=(7, 7) parent=(7, 6)
[POP ] current=(7, 2) visited_nodes=30
[PUSH] next=(7, 3) parent=(7, 2)
[POP ] current=(4, 8) visited_nodes=31
[PUSH] next=(3, 8) parent=(4, 8)
[PUSH] next=(5, 8) parent=(4, 8)
[POP ] current=(7, 7) visited_nodes=32
[PUSH] next=(7, 8) parent=(7, 7)
[POP ] current=(7, 3) visited_nodes=33
[PUSH] next=(7, 4) parent=(7, 3)
[POP ] current=(3, 8) visited_nodes=34
[PUSH] next=(2, 8) parent=(3, 8)
[POP ] current=(5, 8) visited_nodes=35
[PUSH] next=(6, 8) parent=(5, 8)
[POP ] current=(7, 8) visited_nodes=36
[PUSH] next=(7, 9) parent=(7, 8)
[POP ] current=(7, 4) visited_nodes=37
[POP ] current=(2, 8) visited_nodes=38
[PUSH] next=(2, 7) parent=(2, 8)
[POP ] current=(6, 8) visited_nodes=39
[POP ] current=(7, 9) visited_nodes=40
[GOAL] reached (7, 9)
